loss,accuracy,val_loss,val_accuracy
0.7145422697067261,0.546864926815033,0.9537494778633118,0.40785497426986694
0.5853670835494995,0.7117000818252563,0.6630193591117859,0.652567982673645
0.45536404848098755,0.7815126180648804,0.555898904800415,0.7945619225502014
0.4217083156108856,0.7957336902618408,0.5540965795516968,0.7945619225502014
0.4049190580844879,0.8138332366943359,0.8490487933158875,0.7703927755355835
0.3974200487136841,0.8209437727928162,0.5169470906257629,0.791540801525116
0.38497915863990784,0.8170652985572815,0.37515586614608765,0.8247734308242798
0.3732635974884033,0.8358112573623657,0.37013787031173706,0.8368580341339111
0.3597608506679535,0.85455721616745,0.4053429067134857,0.8217522501945496
0.347892701625824,0.8377504944801331,0.6620266437530518,0.7673715949058533
0.3222629725933075,0.8493859171867371,0.34737199544906616,0.8580060601234436
0.32226884365081787,0.8655462265014648,0.6513873338699341,0.7522658705711365
0.3319206237792969,0.8623141646385193,0.3622450828552246,0.8489425778388977
0.29461780190467834,0.8797672986984253,0.3826564848423004,0.8549848794937134
0.31379544734954834,0.8713639378547668,0.42253854870796204,0.8338368535041809
0.2828098237514496,0.8752424120903015,0.5009086728096008,0.8277945518493652
