loss,accuracy,val_loss,val_accuracy
1.09626042842865,0.5670261979103088,0.9907176494598389,0.5793269276618958
0.7268531322479248,0.6974833011627197,0.7540906071662903,0.6947115659713745
0.5399442911148071,0.7878788113594055,0.5645464062690735,0.7956730723381042
0.36672112345695496,0.8736517429351807,0.5320411324501038,0.8317307829856873
0.2916910946369171,0.8947098255157471,0.522097647190094,0.8317307829856873
0.17455412447452545,0.9435028433799744,0.5718523263931274,0.7980769276618958
0.12953351438045502,0.9522342085838318,0.7031683325767517,0.8509615659713745
0.10564522445201874,0.9625064134597778,0.5781517624855042,0.8629807829856873
0.07666121423244476,0.974833071231842,0.6623942852020264,0.8341346383094788
0.06566160172224045,0.9835644364356995,0.6916637420654297,0.8533653616905212
